state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,albury_wodonga,barwon_geelong,bendigo_bendigo,cabrini_brighton,cabrini_malvern,casey_berwick,central_sale,dandenong_dandenong,eastern_boxhill,echuca_echuca,epworth_richmond,frankston_frankston,grampians_ballarat,grampians_horsham,latrobe_traralgonwest,maroondah_eastringwood,mildura_mildura,monash_clayton,shepparton_shepparton,south_warrnambool,sunshine_stalbans,northern_epping,royal_parkville,wangaratta_wangaratta,werribee_werribee,west_warragul,TravelDuration,TravelDuration_min,min_distance,closest_hospital
VIC,3036,Australia,Victoria,3036 Victoria Australia,-37.69741821,144.8137665,16.0,16.0,253.1,64.0,115.4,28.5,26.7,60.4,204.1,47.4,29.8,173.5,20.7,57.4,86.5,255.4,156.6,41.0,458.5,36.8,158.0,218.7,7.0,18.4,16.1,200.5,23.2,111.0,1486.0,24.8,16.1,sunshine_stalbans
VIC,3037,Australia,Victoria,3037 Victoria Australia,-37.69981384,144.7555695,20.0,20.0,257.1,60.8,113.6,31.4,30.4,64.3,209.1,51.2,34.4,173.7,24.7,59.8,81.5,250.9,161.2,45.8,456.0,40.6,160.0,213.8,8.6,23.4,20.0,204.1,21.3,115.4,1324.0,22.1,20.0,sunshine_stalbans
VIC,3038,Australia,Victoria,3038 Victoria Australia,-37.70685577,144.7941284,16.7,16.7,255.1,62.2,115.7,28.6,27.2,61.1,205.6,48.0,31.0,174.5,21.4,57.4,85.0,254.3,157.8,42.3,458.4,37.4,159.5,216.7,6.3,20.3,16.8,202.4,21.6,112.1,1174.0,19.6,16.8,sunshine_stalbans
VIC,3039,Australia,Victoria,3039 Victoria Australia,-37.76561356,144.9214325,4.0,4.0,251.6,65.0,126.3,17.4,14.6,48.3,193.2,35.3,18.2,181.7,8.6,46.5,97.4,267.2,145.0,30.1,470.0,24.7,162.3,225.1,9.3,15.0,4.0,200.1,23.7,99.1,682.0,11.4,4.0,royal_parkville
VIC,3040,Australia,Victoria,3040 Victoria Australia,-37.75203705,144.9054871,6.0,6.0,251.5,65.0,124.3,19.3,16.7,50.4,194.9,37.3,20.0,180.0,10.6,48.4,95.6,265.3,146.8,31.7,467.9,26.8,161.2,224.2,8.0,14.6,6.1,199.8,23.5,101.0,854.0,14.2,6.1,royal_parkville
VIC,3041,Australia,Victoria,3041 Victoria Australia,-37.72944641,144.9071655,8.0,8.0,249.7,66.8,122.2,21.6,18.5,51.9,195.3,38.9,20.9,177.5,12.4,50.6,95.2,264.3,147.6,32.1,465.9,28.5,158.8,225.2,8.8,12.7,8.1,197.8,25.2,102.1,645.0,10.8,8.1,royal_parkville
VIC,3042,Australia,Victoria,3042 Victoria Australia,-37.72525787,144.8708801,10.3,10.3,251.6,64.9,120.3,23.3,20.9,54.6,198.5,41.6,24.0,176.9,14.9,52.4,92.0,261.2,150.7,35.3,463.8,31.0,159.3,222.3,6.2,15.0,10.3,199.5,23.4,105.1,832.0,13.9,10.3,sunshine_stalbans
VIC,3043,Australia,Victoria,3043 Victoria Australia,-37.70022202,144.8813934,12.0,12.0,249.0,67.6,118.2,25.4,22.5,55.8,198.3,42.9,24.4,174.1,16.3,54.5,92.4,260.9,150.9,35.2,461.9,32.4,156.4,224.2,8.9,12.9,12.1,196.8,26.1,105.7,951.0,15.9,12.1,sunshine_stalbans
VIC,3044,Australia,Victoria,3044 Victoria Australia,-37.73197556,144.9382629,6.9,6.9,247.9,68.6,123.7,20.5,16.8,49.7,192.6,36.9,18.3,178.1,10.7,49.4,98.0,267.0,145.0,29.4,467.6,26.5,158.3,227.7,11.2,11.1,7.0,196.3,27.1,99.6,706.0,11.8,7.0,royal_parkville
VIC,3046,Australia,Victoria,3046 Victoria Australia,-37.70636368,144.9303742,9.8,9.8,246.4,70.1,120.8,23.5,19.6,52.2,193.9,39.5,20.5,175.2,13.6,52.3,96.8,265.2,146.7,30.9,464.9,29.2,155.8,228.0,11.8,9.5,9.9,194.5,28.5,101.6,856.0,14.3,9.9,northern_epping
VIC,3047,Australia,Victoria,3047 Victoria Australia,-37.68108368,144.9309235,12.6,12.6,244.4,72.1,118.4,26.2,22.1,54.2,194.6,41.6,22.2,172.4,16.1,55.0,96.4,264.1,147.8,31.9,462.6,31.5,153.0,229.0,13.5,8.0,12.7,192.3,30.5,103.1,1114.0,18.6,12.7,northern_epping
VIC,3048,Australia,Victoria,3048 Victoria Australia,-37.65340805,144.9250488,15.7,15.7,242.6,74.1,115.5,29.3,25.2,56.9,195.9,44.4,24.7,169.3,19.2,58.0,95.5,262.4,149.6,33.8,459.7,34.4,150.2,229.6,15.3,7.9,15.8,190.3,32.6,105.2,1248.0,20.8,15.8,northern_epping
VIC,3049,Australia,Victoria,3049 Victoria Australia,-37.67105103,144.8893738,14.6,14.6,246.3,70.5,115.7,28.2,24.8,57.6,198.4,44.8,25.7,171.0,18.7,57.3,92.6,260.3,151.6,35.7,459.6,34.5,153.0,226.0,11.9,11.2,14.7,193.9,29.1,106.8,1074.0,17.9,14.7,northern_epping
VIC,3051,Australia,Victoria,3051 Victoria Australia,-37.79845428,144.944931,0.7,0.7,252.8,64.2,130.5,13.3,10.6,44.4,190.5,31.3,15.4,185.5,4.7,42.3,100.3,270.6,141.8,27.8,474.1,20.7,165.3,225.9,12.1,17.3,0.6,201.7,23.7,95.6,265.0,4.4,0.6,royal_parkville
VIC,3052,Australia,Victoria,3052 Victoria Australia,-37.78705215,144.9514771,0.7,0.7,251.5,65.5,129.6,14.3,11.1,44.8,190.2,31.7,15.0,184.3,5.0,43.3,100.5,270.6,141.7,27.2,473.4,21.2,163.9,226.8,12.3,15.9,0.9,200.4,24.7,95.7,328.0,5.5,0.9,royal_parkville
VIC,3053,Australia,Victoria,3053 Victoria Australia,-37.80040359,144.9681702,1.8,1.8,251.6,65.7,131.6,12.6,9.0,42.7,188.4,29.6,13.3,185.9,2.9,41.4,102.3,272.5,139.8,25.7,475.4,19.1,165.0,227.8,14.1,16.9,1.8,200.7,25.5,93.7,625.0,10.4,1.8,royal_parkville
VIC,3054,Australia,Victoria,3054 Victoria Australia,-37.78569794,144.9681397,1.8,1.8,250.4,66.7,130.2,14.2,10.3,43.7,188.8,30.7,13.6,184.3,4.2,42.9,101.9,271.8,140.3,25.8,474.1,20.3,163.4,228.3,13.7,15.3,1.9,199.4,26.1,94.4,657.0,11.0,1.9,royal_parkville
VIC,3055,Australia,Victoria,3055 Victoria Australia,-37.76331329,144.9427338,3.4,3.4,250.2,66.6,126.9,17.1,13.6,47.1,191.4,34.1,16.5,181.6,7.5,46.0,99.1,268.8,143.3,28.3,470.8,23.6,161.6,226.9,11.2,13.8,3.5,198.8,25.4,97.6,602.0,10.0,3.5,royal_parkville
VIC,3056,Australia,Victoria,3056 Victoria Australia,-37.76634598,144.9612427,3.2,3.2,249.3,67.6,128.0,16.4,12.5,45.6,189.8,32.7,14.9,182.1,6.4,45.1,100.8,270.4,141.7,26.6,471.9,22.3,161.5,228.3,12.8,13.5,3.3,198.0,26.6,96.0,763.0,12.7,3.3,royal_parkville
VIC,3057,Australia,Victoria,3057 Victoria Australia,-37.76896286,144.9774323,3.6,3.6,248.5,68.5,128.9,15.9,11.5,44.4,188.3,31.5,13.4,182.5,5.6,44.4,102.2,271.8,140.2,25.2,473.0,21.2,161.4,229.6,14.2,13.3,3.8,197.4,27.7,94.6,966.0,16.1,3.8,royal_parkville
VIC,3058,Australia,Victoria,3058 Victoria Australia,-37.73756409,144.965683,6.4,6.4,246.7,70.0,125.4,19.5,15.1,47.6,190.1,34.8,16.0,178.9,9.2,48.0,100.5,269.4,142.5,26.9,469.5,24.6,158.3,229.7,13.4,10.3,6.5,195.3,28.6,97.2,845.0,14.1,6.5,royal_parkville
VIC,3059,Australia,Victoria,3059 Victoria Australia,-37.63661957,144.879837,18.5,18.5,244.3,72.9,111.9,32.1,28.5,60.9,200.2,48.3,28.9,167.1,22.5,61.1,91.3,258.0,154.0,38.2,455.9,38.1,149.7,226.6,14.9,12.0,18.6,191.6,31.9,109.5,1261.0,21.0,18.6,northern_epping
VIC,3060,Australia,Victoria,3060 Victoria Australia,-37.70482254,144.9693909,10.0,10.0,243.9,72.7,122.4,23.1,18.5,50.0,190.7,37.5,17.9,175.3,12.7,51.4,100.1,268.2,143.6,27.8,466.6,27.5,154.7,231.3,14.9,7.0,10.1,192.2,31.1,98.8,1320.0,22.0,10.1,northern_epping
VIC,3061,Australia,Victoria,3061 Victoria Australia,-37.66384506,144.9595337,14.4,14.4,241.3,75.3,118.0,27.7,23.1,54.1,192.7,41.7,21.8,170.7,17.4,56.1,98.6,265.6,146.3,30.6,462.4,32.0,150.5,232.0,16.6,5.0,14.6,189.2,33.7,102.0,1317.0,22.0,14.6,northern_epping
VIC,3063,Australia,Victoria,3063 Victoria Australia,-37.58930588,144.8448334,24.5,24.5,243.0,75.4,105.8,38.1,34.6,66.9,204.7,54.3,34.8,161.6,28.6,67.2,87.8,253.2,159.1,43.5,449.9,44.2,145.7,225.8,19.2,16.6,24.6,189.8,35.4,115.0,1390.0,23.2,24.6,northern_epping
VIC,3064,Australia,Victoria,3064 Victoria Australia,-37.55615997,144.9329834,26.4,26.4,234.8,82.9,106.6,39.9,35.2,65.1,198.4,53.2,33.1,158.6,29.6,68.2,95.5,259.1,153.9,39.6,451.2,43.8,139.7,234.4,25.0,13.0,26.6,181.8,42.0,111.0,2039.0,34.0,26.6,northern_epping
VIC,3065,Australia,Victoria,3065 Victoria Australia,-37.80081177,144.9792023,2.7,2.7,251.0,66.5,132.1,12.4,8.4,41.9,187.5,28.9,12.4,186.1,2.2,41.0,103.3,273.4,138.8,24.7,476.0,18.4,164.8,228.7,15.0,16.7,2.7,200.1,26.4,92.8,786.0,13.1,2.7,epworth_richmond
VIC,3066,Australia,Victoria,3066 Victoria Australia,-37.80173874,144.9882355,3.5,3.5,250.5,67.1,132.6,12.3,7.9,41.2,186.7,28.2,11.6,186.2,1.8,40.6,104.1,274.2,138.1,24.0,476.5,17.8,164.7,229.4,15.8,16.7,3.5,199.7,27.1,92.0,902.0,15.0,3.5,epworth_richmond
VIC,3067,Australia,Victoria,3067 Victoria Australia,-37.80413818,144.9996338,4.5,4.5,250.0,67.7,133.3,12.0,7.2,40.3,185.6,27.3,10.5,186.6,1.6,40.1,105.1,275.2,137.0,23.0,477.3,16.9,164.8,230.3,16.9,16.9,4.5,199.4,27.9,91.0,1006.0,16.8,4.5,epworth_richmond
VIC,3068,Australia,Victoria,3068 Victoria Australia,-37.78628922,144.9896545,3.6,3.6,249.2,68.2,131.1,14.0,9.3,42.3,186.9,29.4,11.8,184.6,3.5,42.2,103.7,273.6,138.5,23.9,475.2,19.0,163.0,230.0,15.6,15.0,3.7,198.3,27.8,92.7,828.0,13.8,3.7,epworth_richmond
VIC,3070,Australia,Victoria,3070 Victoria Australia,-37.77251053,145.0004883,5.0,5.0,247.4,69.9,130.2,15.5,10.5,42.7,186.3,29.9,11.4,183.1,5.1,43.5,104.3,273.8,138.2,23.1,474.4,19.7,161.3,231.4,16.3,13.3,5.1,196.5,29.3,92.6,1096.0,18.3,5.1,epworth_richmond
VIC,3071,Australia,Victoria,3071 Victoria Australia,-37.75817108,145.0058289,6.3,6.3,245.9,71.2,129.1,17.1,11.9,43.5,186.2,30.8,11.8,181.6,6.7,44.9,104.4,273.6,138.4,22.9,473.3,20.8,159.7,232.4,16.7,11.7,6.4,194.9,30.5,93.0,1168.0,19.5,6.4,royal_parkville
VIC,3072,Australia,Victoria,3072 Victoria Australia,-37.74177551,145.0079498,7.7,7.7,244.5,72.5,127.6,19.0,13.7,44.7,186.4,32.2,12.7,179.8,8.5,46.6,104.2,273.0,138.9,23.2,471.9,22.3,157.8,233.1,17.0,9.9,7.8,193.4,31.5,93.8,1193.0,19.9,7.8,royal_parkville
VIC,3073,Australia,Victoria,3073 Victoria Australia,-37.71215439,145.0068359,10.3,10.3,242.1,74.5,124.7,22.3,16.9,47.3,187.3,35.0,15.1,176.6,11.8,49.8,103.5,271.6,140.3,24.4,469.1,25.3,154.7,234.1,17.7,6.6,10.5,190.8,33.2,95.6,1460.0,24.3,10.5,northern_epping
VIC,3074,Australia,Victoria,3074 Victoria Australia,-37.6837883,145.008194,13.2,13.2,239.8,76.7,122.1,25.4,20.0,49.7,188.0,37.6,17.5,173.4,15.0,52.9,103.1,270.5,141.5,25.7,466.6,28.2,151.6,235.3,19.0,3.5,13.4,188.3,35.2,97.2,1321.0,22.0,13.4,northern_epping
VIC,3075,Australia,Victoria,3075 Victoria Australia,-37.66677094,145.0128021,15.1,15.1,238.2,78.3,120.7,27.3,21.9,51.0,188.1,39.1,18.9,171.6,16.9,54.7,103.3,270.1,142.0,26.4,465.3,29.9,149.6,236.3,20.2,1.5,15.3,186.5,36.8,98.0,1472.0,24.5,15.3,northern_epping
VIC,3076,Australia,Victoria,3076 Victoria Australia,-37.6389389,145.009079,18.0,18.0,236.2,80.3,117.9,30.4,25.0,53.7,189.2,42.0,21.8,168.5,19.9,57.8,102.6,268.6,143.7,28.5,462.5,32.9,146.7,237.1,21.7,1.7,18.1,184.3,38.7,100.0,1481.0,24.7,18.1,northern_epping
VIC,3078,Australia,Victoria,3078 Victoria Australia,-37.78268433,145.0225067,6.5,6.5,246.9,70.7,132.2,14.6,9.0,40.5,184.1,27.8,9.2,184.5,4.7,41.9,106.4,276.0,136.0,21.0,476.4,17.7,162.0,232.9,18.3,14.4,6.6,196.3,30.6,90.4,1009.0,16.8,6.6,epworth_richmond
VIC,3079,Australia,Victoria,3079 Victoria Australia,-37.76939774,145.0485992,9.1,9.1,244.3,73.5,132.1,16.6,10.5,40.0,182.2,27.6,8.0,183.4,7.3,42.9,108.3,277.5,134.4,19.0,476.5,18.1,160.1,235.6,20.5,13.3,9.2,193.7,33.3,89.1,1282.0,21.4,9.2,epworth_richmond
VIC,3081,Australia,Victoria,3081 Victoria Australia,-37.7420845,145.0461578,10.2,10.2,242.2,75.1,129.4,19.5,13.5,42.5,183.1,30.3,10.3,180.3,9.6,45.9,107.5,276.1,135.8,20.0,473.8,21.0,157.1,236.3,20.4,10.3,10.3,191.4,34.4,90.9,1440.0,24.0,10.3,epworth_richmond
VIC,3082,Australia,Victoria,3082 Victoria Australia,-37.66399002,145.0645142,17.6,17.6,234.8,81.9,123.0,28.3,22.3,48.8,183.8,37.4,17.4,172.0,18.2,54.3,107.8,274.2,138.0,23.0,467.6,29.0,148.3,240.7,24.4,4.5,17.7,183.5,40.5,94.5,1792.0,29.9,17.7,northern_epping
VIC,3083,Australia,Victoria,3083 Victoria Australia,-37.69981766,145.0578308,14.1,14.1,238.1,78.8,126.0,24.3,18.3,45.7,183.3,34.0,13.8,175.9,14.3,50.4,107.7,275.2,136.8,21.1,470.6,25.2,152.3,238.8,22.3,6.4,14.2,187.0,37.7,92.6,1517.0,25.3,14.2,northern_epping
VIC,3084,Australia,Victoria,3084 Victoria Australia,-37.74671173,145.076889,12.3,12.3,240.7,77.0,131.2,19.8,13.5,40.5,180.4,28.6,8.4,181.3,10.8,45.1,110.3,278.8,133.1,17.2,475.8,19.8,157.1,238.7,23.0,11.8,12.4,190.2,36.6,88.3,1461.0,24.4,12.4,eastern_boxhill
VIC,3085,Australia,Victoria,3085 Victoria Australia,-37.72268677,145.0795136,13.8,13.8,238.6,78.7,129.1,22.4,16.1,42.6,180.8,30.9,10.8,178.7,13.0,47.7,110.0,277.9,134.0,18.1,473.7,22.4,154.4,239.7,23.6,9.6,14.0,187.9,38.0,89.6,1667.0,27.8,14.0,northern_epping
VIC,3087,Australia,Victoria,3087 Victoria Australia,-37.70486069,145.084198,15.4,15.4,236.9,80.3,127.7,24.4,18.1,44.0,180.9,32.6,12.6,176.8,14.9,49.6,110.1,277.5,134.5,18.8,472.3,24.2,152.4,240.8,24.4,8.4,15.5,186.1,39.4,90.4,1617.0,27.0,15.5,northern_epping
VIC,3088,Australia,Victoria,3088 Victoria Australia,-37.69836426,145.1113129,17.7,17.7,234.7,82.6,128.5,26.0,19.6,43.4,178.8,32.5,12.9,176.5,16.9,50.2,112.3,279.5,132.7,17.4,473.1,24.7,151.3,243.3,26.9,9.9,17.8,184.1,41.8,88.9,1748.0,29.1,17.8,northern_epping
VIC,3089,Australia,Victoria,3089 Victoria Australia,-37.66794205,145.1567078,22.9,22.9,229.5,87.8,128.1,30.8,24.3,44.8,175.9,34.9,16.6,174.0,22.0,53.6,115.9,281.9,130.7,17.4,472.7,28.3,147.3,248.2,31.7,12.6,23.0,179.0,47.0,87.8,2052.0,34.2,23.0,northern_epping
VIC,3090,Australia,Victoria,3090 Victoria Australia,-37.66740799,145.1123657,20.0,20.0,232.1,84.8,125.7,29.2,22.8,46.5,179.6,35.7,16.4,173.1,19.7,53.7,112.0,278.3,134.1,19.8,470.4,28.2,147.9,244.5,28.1,8.7,20.1,181.2,43.7,90.9,1989.0,33.2,20.1,northern_epping
VIC,3091,Australia,Victoria,3091 Victoria Australia,-37.63750076,145.1348572,23.8,23.8,228.4,88.5,124.2,33.0,26.6,48.7,178.7,38.5,19.7,170.3,23.6,57.0,113.7,278.9,134.0,21.3,468.8,31.5,144.2,247.5,31.2,10.7,23.9,177.4,47.2,91.5,2102.0,35.0,23.9,northern_epping
VIC,3093,Australia,Victoria,3093 Victoria Australia,-37.73881531,145.1162262,15.8,15.8,237.8,80.3,132.4,22.1,15.6,39.3,177.2,28.1,8.4,181.0,13.9,45.7,113.5,281.6,130.3,14.5,477.0,20.2,155.6,242.3,26.5,13.1,15.9,187.5,40.1,85.9,1874.0,31.2,15.9,eastern_boxhill
VIC,3094,Australia,Victoria,3094 Victoria Australia,-37.71902084,145.1252747,17.5,17.5,235.6,82.2,131.0,24.5,17.9,40.8,177.0,29.9,10.6,179.0,16.0,47.9,113.9,281.5,130.5,15.0,475.7,22.4,153.3,243.7,27.6,12.2,17.6,185.2,41.8,86.5,2004.0,33.4,17.6,eastern_boxhill
VIC,3095,Australia,Victoria,3095 Victoria Australia,-37.71137619,145.1663513,21.1,21.1,232.6,85.6,132.5,27.1,20.5,40.0,173.7,30.0,12.2,178.9,19.3,48.9,117.3,284.5,127.7,12.9,477.1,23.6,151.9,247.4,31.3,14.8,21.2,182.5,45.4,84.2,2223.0,37.1,21.2,eastern_boxhill
VIC,3096,Australia,Victoria,3096 Victoria Australia,-37.66730499,145.1883545,25.2,25.2,227.6,90.1,129.7,32.2,25.7,43.9,173.2,34.6,17.5,174.5,24.0,53.9,118.7,284.5,128.3,16.1,474.3,28.8,146.8,250.8,34.4,15.3,25.3,177.4,49.4,85.8,2325.0,38.8,25.3,northern_epping
VIC,3097,Australia,Victoria,3097 Victoria Australia,-37.68943787,145.241684,28.1,28.1,226.4,92.5,134.6,33.1,26.6,40.3,168.0,32.1,17.6,178.0,26.1,52.1,123.6,289.8,123.0,12.5,479.0,27.7,148.7,254.4,38.3,20.4,28.2,176.8,52.4,80.6,2740.0,45.7,28.2,maroondah_eastringwood
VIC,3099,Australia,Victoria,3099 Victoria Australia,-37.580513,145.2194977,33.5,33.5,218.6,98.3,124.1,41.9,35.4,52.5,173.7,44.1,27.5,165.8,33.1,63.8,120.8,283.8,130.9,24.7,468.2,38.8,136.9,256.7,40.8,19.7,33.6,167.9,57.0,90.5,2916.0,48.6,33.6,northern_epping
VIC,3101,Australia,Victoria,3101 Victoria Australia,-37.80344772,145.0331726,7.4,7.4,248.0,70.2,134.7,12.6,6.6,38.2,182.8,25.4,7.6,186.9,3.9,39.4,107.9,277.9,134.3,20.0,478.9,15.2,164.1,233.1,19.7,16.8,7.4,197.6,30.7,88.5,1063.0,17.7,7.4,epworth_richmond
VIC,3102,Australia,Victoria,3102 Victoria Australia,-37.79069138,145.0523834,9.0,9.0,245.8,72.4,134.3,14.5,8.2,38.0,181.4,25.5,6.4,185.8,6.0,40.5,109.2,278.8,133.2,18.4,478.6,15.7,162.3,235.2,21.1,15.7,9.1,195.4,32.8,87.6,1159.0,19.3,9.1,epworth_richmond
VIC,3103,Australia,Victoria,3103 Victoria Australia,-37.80946732,145.0804291,11.6,11.6,245.7,73.3,137.3,13.8,7.3,34.8,178.6,22.4,3.4,188.2,7.7,38.1,112.1,281.9,130.2,15.9,481.7,12.9,163.9,236.9,23.9,18.3,11.6,195.8,34.6,84.5,1370.0,22.8,11.6,eastern_boxhill
VIC,3104,Australia,Victoria,3104 Victoria Australia,-37.79173279,145.0843048,11.8,11.8,244.0,74.7,135.8,15.6,9.1,36.1,178.6,23.9,4.0,186.3,8.5,40.0,112.0,281.4,130.6,15.5,480.3,14.7,161.9,237.8,23.9,16.6,11.9,193.9,35.4,85.2,1290.0,21.5,11.9,eastern_boxhill
VIC,3105,Australia,Victoria,3105 Victoria Australia,-37.76862335,145.0869904,12.4,12.4,242.0,76.3,133.8,18.0,11.5,38.0,178.9,26.0,5.8,183.8,9.9,42.6,111.6,280.6,131.3,15.7,478.3,17.2,159.3,238.8,23.9,14.3,12.4,191.7,36.5,86.3,1237.0,20.6,12.4,eastern_boxhill
VIC,3106,Australia,Victoria,3106 Victoria Australia,-37.75403595,145.1486359,18.0,18.0,237.2,81.7,135.4,22.3,15.8,36.4,174.0,25.6,7.2,183.2,15.4,44.1,116.6,284.9,127.0,11.1,480.1,18.7,156.8,244.5,29.3,16.3,18.1,187.3,42.1,82.6,1714.0,28.6,18.1,eastern_boxhill
VIC,3107,Australia,Victoria,3107 Victoria Australia,-37.7638092,145.1121979,14.6,14.6,240.1,78.4,134.5,19.6,13.0,37.2,176.9,25.6,5.7,183.7,12.1,43.0,113.7,282.4,129.5,13.7,479.1,17.5,158.4,241.1,26.1,15.0,14.7,190.0,38.7,84.7,1367.0,22.8,14.7,eastern_boxhill
VIC,3108,Australia,Victoria,3108 Victoria Australia,-37.78475189,145.1239624,15.3,15.3,241.2,78.0,137.0,18.3,11.8,34.6,175.4,23.0,3.3,186.1,12.1,40.6,115.2,284.2,127.6,12.2,481.6,15.1,160.5,241.4,27.2,17.5,15.4,191.3,39.0,82.6,1429.0,23.8,15.4,eastern_boxhill
VIC,3109,Australia,Victoria,3109 Victoria Australia,-37.77880096,145.1638947,18.9,18.9,238.4,81.4,138.4,21.2,14.8,33.4,172.1,22.6,5.6,186.2,15.6,41.4,118.5,287.2,124.7,8.9,483.1,16.2,159.4,244.9,30.7,19.2,18.9,188.9,42.5,80.0,1523.0,25.4,18.9,eastern_boxhill
VIC,3111,Australia,Victoria,3111 Victoria Australia,-37.7897644,145.1913757,21.2,21.2,237.8,82.9,140.8,22.2,16.1,31.2,169.5,21.0,6.9,187.9,17.7,40.4,121.1,289.9,122.0,6.2,485.5,15.7,160.3,246.9,33.2,21.7,21.3,188.6,44.5,77.3,1589.0,26.5,21.3,maroondah_eastringwood
VIC,3113,Australia,Victoria,3113 Victoria Australia,-37.74041748,145.2112732,23.7,23.7,232.4,87.2,137.4,27.1,20.8,35.6,169.1,26.4,11.6,182.9,21.0,46.1,121.8,289.4,122.7,8.0,482.0,21.5,154.6,250.2,34.9,19.8,23.8,183.0,47.8,79.1,2119.0,35.3,23.8,maroondah_eastringwood
VIC,3114,Australia,Victoria,3114 Victoria Australia,-37.77698898,145.2147827,23.3,23.3,235.4,85.3,140.9,24.7,18.6,31.7,167.8,22.3,9.4,186.9,20.0,42.1,122.8,291.2,120.7,4.8,485.5,17.9,158.6,249.3,35.1,22.3,23.4,186.3,46.9,76.4,1943.0,32.4,23.4,maroondah_eastringwood
VIC,3116,Australia,Victoria,3116 Victoria Australia,-37.73859024,145.3143158,32.6,32.6,226.5,95.1,142.9,34.3,28.3,33.9,160.4,27.8,19.1,185.0,29.6,48.5,130.7,297.7,114.7,8.3,487.2,26.3,153.6,258.9,43.9,28.0,32.7,178.1,56.5,72.2,2504.0,41.7,32.7,maroondah_eastringwood
VIC,3121,Australia,Victoria,3121 Victoria Australia,-37.82289505,145.0040588,5.8,5.8,251.3,66.9,135.3,10.0,5.1,38.7,184.9,25.6,10.1,188.7,1.1,38.0,106.0,276.5,135.9,22.7,479.3,15.1,166.7,230.1,17.9,18.9,5.8,200.8,27.7,89.8,1152.0,19.2,5.8,epworth_richmond
VIC,3122,Australia,Victoria,3122 Victoria Australia,-37.82475281,145.0320129,8.0,8.0,249.8,68.8,136.7,10.3,4.3,36.7,182.4,23.7,7.7,189.3,3.5,37.1,108.4,278.8,133.6,20.3,480.8,13.3,166.4,232.4,20.3,19.1,8.0,199.6,30.0,87.5,1351.0,22.5,8.0,epworth_richmond
VIC,3123,Australia,Victoria,3123 Victoria Australia,-37.83098221,145.0500336,9.7,9.7,249.3,69.8,138.1,10.4,3.9,35.0,180.7,22.1,6.3,190.2,5.2,36.1,110.2,280.5,131.8,18.8,482.2,11.9,166.8,233.7,22.0,20.0,9.7,199.2,31.4,85.7,1403.0,23.4,9.7,cabrini_malvern
VIC,3124,Australia,Victoria,3124 Victoria Australia,-37.83835602,145.0736847,12.0,12.0,248.6,71.2,139.8,10.9,4.5,32.9,178.5,20.1,4.8,191.3,7.4,35.0,112.4,282.7,129.6,17.0,484.1,10.1,167.2,235.5,24.3,21.2,12.0,198.7,33.3,83.5,1636.0,27.3,12.0,cabrini_malvern
VIC,3125,Australia,Victoria,3125 Victoria Australia,-37.84964752,145.1112671,15.5,15.5,247.4,73.5,142.6,12.6,7.0,29.7,175.1,17.1,4.0,193.1,11.0,33.4,115.9,286.2,126.1,14.2,487.0,8.0,167.8,238.3,27.8,23.4,15.5,198.0,36.4,80.0,1646.0,27.4,15.5,eastern_boxhill
VIC,3126,Australia,Victoria,3126 Victoria Australia,-37.8237114,145.075531,11.5,11.5,247.2,72.2,138.5,12.3,5.7,34.0,178.7,21.3,4.0,189.7,7.3,36.6,112.1,282.2,130.0,16.5,482.8,11.6,165.5,236.1,23.9,19.7,11.6,197.3,33.8,84.1,1498.0,25.0,11.6,eastern_boxhill
VIC,3127,Australia,Victoria,3127 Victoria Australia,-37.82423782,145.1008606,13.7,13.7,245.8,74.1,139.7,13.7,7.4,32.4,176.5,20.0,1.9,190.1,9.5,36.3,114.3,284.2,127.9,14.3,484.1,10.9,165.2,238.2,26.0,20.5,13.7,196.1,35.9,82.1,1591.0,26.5,13.7,eastern_boxhill
VIC,3128,Australia,Victoria,3128 Victoria Australia,-37.82902527,145.1247406,15.9,15.9,244.9,75.6,141.2,14.9,8.9,30.6,174.3,18.5,1.7,191.0,11.6,35.7,116.4,286.3,125.8,12.4,485.7,10.2,165.4,240.1,28.2,21.8,15.9,195.4,37.9,80.0,1572.0,26.2,15.9,eastern_boxhill
VIC,3129,Australia,Victoria,3129 Victoria Australia,-37.80480576,145.1229096,15.3,15.3,242.9,76.8,138.9,16.6,10.2,32.9,175.0,21.0,1.1,188.3,11.5,38.4,115.6,285.1,126.9,12.1,483.4,12.9,162.8,240.6,27.4,19.4,15.3,193.2,38.3,81.5,1352.0,22.5,15.3,eastern_boxhill
VIC,3130,Australia,Victoria,3130 Victoria Australia,-37.82326508,145.1510315,18.0,18.0,242.9,78.0,141.9,17.1,11.3,29.8,172.2,18.2,3.0,190.8,13.9,36.4,118.5,288.2,123.8,10.0,486.5,11.1,164.4,242.5,30.3,22.4,18.0,193.6,40.3,78.3,1643.0,27.4,18.0,eastern_boxhill
VIC,3131,Australia,Victoria,3131 Victoria Australia,-37.82736588,145.1741028,20.1,20.1,241.9,79.5,143.4,18.6,13.0,28.3,170.1,17.2,5.0,191.6,15.9,36.1,120.6,290.2,121.8,8.2,488.0,11.3,164.6,244.3,32.4,23.9,20.1,192.9,42.2,76.3,1550.0,25.8,20.1,eastern_boxhill
