state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,albury_wodonga,barwon_geelong,bendigo_bendigo,cabrini_brighton,cabrini_malvern,casey_berwick,central_sale,dandenong_dandenong,eastern_boxhill,echuca_echuca,epworth_richmond,frankston_frankston,grampians_ballarat,grampians_horsham,latrobe_traralgonwest,maroondah_eastringwood,mildura_mildura,monash_clayton,shepparton_shepparton,south_warrnambool,sunshine_stalbans,northern_epping,royal_parkville,wangaratta_wangaratta,werribee_werribee,west_warragul,TravelDuration,TravelDuration_min,min_distance,closest_hospital
SA,5271,Australia,South Australia,5271 South Australia Australia,-36.84275436,140.6004028,398.9,398.9,566.8,362.6,328.2,405.8,407.8,439.6,588.9,427.1,413.8,379.0,403.2,425.1,298.3,144.0,539.8,425.6,326.9,417.1,432.8,237.7,386.5,401.0,398.8,512.8,380.3,492.5,18309.0,305.2,398.8,grampians_horsham
SA,5280,Australia,South Australia,5280 South Australia Australia,-37.52674866,140.3068085,409.8,409.8,605.1,363.1,363.0,414.2,417.5,446.5,598.5,434.9,424.7,424.4,413.7,429.1,312.3,191.4,546.5,437.1,406.8,425.8,471.8,212.4,397.8,415.0,409.7,549.5,388.4,498.6,19666.0,327.8,409.7,grampians_horsham
WA,6009,Australia,Western Australia,6009 Western Australia Australia,-31.98509216,115.8057098,2723.5,2723.5,2886.9,2676.4,2656.7,2728.3,2731.5,2760.6,2912.6,2749.0,2738.5,2695.6,2727.5,2742.8,2624.7,2471.9,2860.4,2750.8,2459.3,2739.9,2755.6,2515.6,2711.5,2728.0,2723.5,2836.3,2702.5,2812.5,122959.0,2049.3,2723.5,mildura_mildura
WA,6022,Australia,Western Australia,6022 Western Australia Australia,-31.85105324,115.8125153,2728.5,2728.5,2890.9,2681.6,2661.1,2733.4,2736.5,2765.7,2917.7,2754.1,2743.5,2699.6,2732.5,2748.0,2629.6,2476.3,2865.5,2755.8,2462.0,2745.0,2759.7,2521.1,2716.4,2732.9,2728.5,2840.4,2707.5,2817.7,122207.0,2036.8,2728.5,mildura_mildura
WA,6027,Australia,Western Australia,6027 Western Australia Australia,-31.75520325,115.7609253,2737.1,2737.1,2898.8,2690.2,2669.3,2742.0,2745.1,2774.3,2926.3,2762.7,2752.1,2707.5,2741.1,2756.6,2638.0,2484.5,2874.2,2764.3,2469.2,2753.5,2767.7,2529.9,2725.0,2741.3,2737.0,2848.4,2716.1,2826.3,122957.0,2049.3,2737.0,mildura_mildura
WA,6031,Australia,Western Australia,6031 Western Australia Australia,-31.68826294,115.7755585,2738.6,2738.6,2899.9,2691.9,2670.5,2743.5,2746.6,2775.9,2927.9,2764.3,2753.6,2708.6,2742.6,2758.3,2639.5,2485.8,2875.8,2765.9,2469.6,2755.1,2768.8,2531.8,2726.5,2742.9,2738.6,2849.5,2717.7,2828.0,123291.0,2054.9,2738.6,mildura_mildura
WA,6051,Australia,Western Australia,6051 Western Australia Australia,-31.93693733,115.9001083,2717.3,2717.3,2880.1,2670.2,2650.1,2722.1,2725.2,2754.4,2906.4,2742.8,2732.3,2688.8,2721.3,2736.7,2618.4,2465.3,2854.2,2744.6,2451.8,2733.7,2748.8,2509.7,2705.2,2721.6,2717.2,2829.5,2696.3,2806.4,122201.0,2036.7,2717.2,mildura_mildura
WA,6056,Australia,Western Australia,6056 Western Australia Australia,-31.85546303,116.0414047,2708.3,2708.3,2870.2,2661.5,2640.5,2713.2,2716.3,2745.5,2897.5,2733.9,2723.3,2678.9,2712.3,2727.9,2609.3,2455.8,2845.4,2735.6,2440.9,2724.8,2739.1,2501.2,2696.2,2712.6,2708.3,2819.7,2687.4,2797.6,121190.0,2019.8,2708.3,mildura_mildura
WA,6065,Australia,Western Australia,6065 Western Australia Australia,-31.77247238,115.8244858,2730.8,2730.8,2892.5,2684.0,2663.0,2735.7,2738.8,2768.0,2920.0,2756.4,2745.8,2701.2,2734.8,2750.4,2631.8,2478.2,2867.9,2758.1,2462.9,2747.3,2761.4,2523.7,2718.7,2735.1,2730.7,2842.1,2709.8,2820.0,122757.0,2046.0,2730.7,mildura_mildura
WA,6153,Australia,Western Australia,6153 Western Australia Australia,-32.02421951,115.8416367,2718.8,2718.8,2882.4,2671.5,2652.1,2723.6,2726.7,2755.8,2907.8,2744.2,2733.8,2691.0,2722.8,2738.0,2619.9,2467.2,2855.6,2746.1,2455.0,2735.1,2751.0,2510.8,2706.7,2723.2,2718.7,2831.7,2697.7,2807.7,122855.0,2047.6,2718.7,mildura_mildura
WA,6164,Australia,Western Australia,6164 Western Australia Australia,-32.13298798,115.8587418,2712.8,2712.8,2877.2,2665.4,2646.6,2717.5,2720.7,2749.7,2901.8,2738.2,2727.8,2685.8,2716.8,2731.9,2614.1,2461.7,2849.5,2740.1,2450.8,2729.1,2745.7,2504.5,2700.8,2717.3,2712.8,2826.4,2691.7,2801.6,120235.0,2003.9,2712.8,mildura_mildura
WA,6171,Australia,Western Australia,6171 Western Australia Australia,-32.32899475,115.8306122,2707.4,2707.4,2873.2,2659.6,2642.0,2712.0,2715.2,2744.1,2896.1,2732.6,2722.3,2681.9,2711.3,2726.1,2608.7,2457.1,2843.7,2734.7,2448.7,2723.6,2741.5,2498.3,2695.3,2712.0,2707.3,2822.3,2686.2,2795.9,120922.0,2015.4,2707.3,mildura_mildura
WA,6172,Australia,Western Australia,6172 Western Australia Australia,-32.37343597,115.7515564,2712.5,2712.5,2878.9,2664.6,2647.5,2717.1,2720.3,2749.2,2901.2,2737.7,2727.5,2687.5,2716.5,2731.2,2614.0,2462.6,2848.7,2739.8,2455.0,2728.7,2747.1,2503.2,2700.5,2717.2,2712.5,2827.9,2691.3,2800.9,121587.0,2026.5,2712.5,mildura_mildura
WA,6208,Australia,Western Australia,6208 Western Australia Australia,-32.65372849,115.8613968,2691.8,2691.8,2860.0,2643.5,2627.9,2696.3,2699.6,2728.2,2880.3,2716.8,2706.8,2668.7,2695.8,2710.1,2593.5,2443.0,2827.7,2719.2,2438.6,2707.9,2728.0,2481.6,2679.8,2696.7,2691.8,2808.8,2670.5,2779.9,121584.0,2026.4,2691.8,mildura_mildura
WA,6430,Australia,Western Australia,6430 Western Australia Australia,-30.72369766,121.4579468,2290.0,2290.0,2426.8,2249.8,2208.2,2296.6,2298.9,2330.1,2480.1,2317.8,2305.0,2237.4,2294.3,2314.5,2189.5,2026.5,2430.5,2316.8,1975.2,2308.0,2299.9,2098.1,2277.7,2292.1,2290.0,2379.6,2270.9,2383.0,103528.0,1725.5,2290.0,mildura_mildura
WA,6714,Australia,Western Australia,6714 Western Australia Australia,-21.06006622,117.0377197,3260.7,3260.7,3340.5,3233.6,3156.2,3269.9,3270.7,3304.2,3444.2,3291.1,3275.0,3164.8,3265.3,3292.7,3162.2,2990.0,3401.2,3285.4,2859.8,3280.6,3229.1,3102.7,3248.5,3258.8,3260.7,3302.7,3245.7,3356.1,162222.0,2703.7,3260.7,mildura_mildura
WA,6753,Australia,Western Australia,6753 Western Australia Australia,-22.96093941,119.9333191,2896.5,2896.5,2974.7,2870.3,2791.3,2905.9,2906.6,2940.1,3079.5,2927.1,2910.8,2799.4,2901.1,2928.9,2798.4,2626.0,3036.9,2921.2,2494.1,2916.6,2863.7,2741.1,2884.4,2894.4,2896.5,2937.1,2881.8,2992.0,145556.0,2425.9,2896.5,mildura_mildura
TAS,7010,Australia,Tasmania,7010 Tasmania Australia,-42.83638,147.2619324,594.0,594.0,746.4,575.5,723.0,580.3,584.3,557.1,525.9,567.2,587.2,775.3,590.2,551.4,655.2,806.0,517.6,585.0,1059.5,575.8,737.4,639.1,601.2,607.0,593.9,725.9,591.7,530.7,47251.0,787.5,593.9,latrobe_traralgonwest
TAS,7030,Australia,Tasmania,7030 Tasmania Australia,-42.2707634,147.0276947,528.3,528.3,682.9,510.7,657.4,514.7,518.6,491.4,462.8,501.5,521.4,709.6,524.5,485.7,590.6,743.4,452.8,519.3,994.6,510.1,671.8,579.5,535.7,541.3,528.2,661.3,526.3,465.2,44368.0,739.5,528.2,latrobe_traralgonwest
TAS,7050,Australia,Tasmania,7050 Tasmania Australia,-42.96405411,147.2934418,608.2,608.2,760.7,589.4,737.1,594.5,598.6,571.5,540.2,581.5,601.4,789.7,604.4,565.6,669.0,819.2,532.0,599.3,1073.3,590.0,751.8,651.6,615.4,621.3,608.1,740.3,605.8,545.1,48289.0,804.8,608.1,latrobe_traralgonwest
TAS,7248,Australia,Tasmania,7248 Tasmania Australia,-41.39200592,147.1459656,442.1,442.1,585.5,431.6,572.2,428.6,432.1,403.0,365.1,413.9,434.0,620.0,438.1,399.6,512.3,672.5,357.3,430.7,913.5,423.0,579.4,520.4,450.4,454.1,442.0,565.4,442.6,372.8,41083.0,684.7,442.0,latrobe_traralgonwest
TAS,7307,Australia,Tasmania,7307 Tasmania Australia,-41.23812103,146.5457611,406.7,406.7,568.7,390.6,536.0,393.1,397.1,369.9,351.0,379.9,399.9,588.1,403.0,364.1,470.9,627.4,335.6,397.8,874.3,388.5,551.3,471.0,414.2,419.7,406.6,544.0,405.0,345.0,37631.0,627.2,406.6,latrobe_traralgonwest
TAS,7320,Australia,Tasmania,7320 Tasmania Australia,-41.07314301,145.8975525,373.6,373.6,556.1,350.3,500.6,360.0,364.6,340.3,344.9,349.1,368.5,557.8,370.2,331.6,429.5,580.5,321.0,368.0,833.9,356.8,525.9,418.6,379.9,387.8,373.5,526.5,369.0,322.6,38851.0,647.5,373.5,latrobe_traralgonwest
